Drug_A,DrugBank_ID_A,PrimeKG_node_A,Drug_B,DrugBank_ID_B,PrimeKG_node_B,mapping_method_A,mapping_method_B,source_row_count,unique_description_count,PrimeKG_train_overlap,PrimeKG_known_overlap
Aceclofenac,DB06736,4577,Etravirine,DB06414,4349,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Flumethasone,DB00663,2809,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Fluorouracil,DB00544,2973,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Flurandrenolide,DB00846,2812,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Fluvastatin,DB01095,3770,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Fosphenytoin,DB01320,3113,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Halcinonide,DB06786,4366,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Idarubicin,DB01177,3932,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Indinavir,DB00224,3722,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Leflunomide,DB01097,4107,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Levobunolol,DB01210,3938,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Lobeglitazone,DB09198,4156,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Loteprednol,DB00873,10167,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Lovastatin,DB00227,2918,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Lumacaftor,DB09280,3210,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Masoprocol,DB00179,3438,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Medrysone,DB00253,2799,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Metipranolol,DB01214,3939,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Midostaurin,DB06595,3801,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Mifepristone,DB00834,3756,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Misoprostol,DB00929,5004,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Omeprazole,DB00338,3568,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Phenobarbital,DB01174,3776,exact normalized-name,exact normalized-name,1,1,False,False
